,seq,name,content,class
796,812,عصام حبيب محمد سعيد الفخري ,تاريخ أول تعيين5/10/1960/معلم مدرسة السفينة، تم النقل في سنة 1965معلم مدرسة المقاصد، تم التنسيب إلى المديرية العامة لتربية نينوى بالأمر الإداري 17526 في 10/5/1969 في شعبة الحسابات الابتدائي، تم نقل الخدمات إلى التربية بالأمر الوزاري 38913 في 29/12/1979 بوظيفة مدقق حسابات أقدم في مديرية الحسابات، تم النقل إلى مدير مكتب المدير العام بالأمر 20520 في 17/8/1991 ولحد الآن مدة الخدمة 45سنة.,0
797,813,عصام سعدون سلطان  ,دار المعلمين العالية 1958، مدرس في الغربية و نقل الى بغداد عام 1969  ,0
798,814,عصام عبد الرحمن  ,المسرح:-توهج وانفجار، وحب كبير للحياة..والتقاء لكل قوى الخير..وعلى خشبته تتعاشق الثقافات وتلتحم لتلد الإنسان النقي، بعيداً عن الممارسات الخائنة المتسخة بالزيف والإدعاء..أنه وثيقة سياسية، ووثيقة اجتماعية، ويمتلك القدرة على الرصد والتسجيل وإعادة صياغة الإنسان..والمخرج:-هو المتفرج الأول المغامر الوحش في تصوراته الخشن الذي يلامس الضمائر برقة جمالية وصداقة حميمة، الذي لا يجرب من أجل التجريب بل من أجل الإضافة والاكتشاف في رحاب المعرفة الصادق، المتأمل، النقي، الذي يغور في أعماق الفكر والنفس البشريين لفهم العلاقات واستيعابها لتحقيق متعة الكشف التي لا تقل عن متعة الخلق والإبداع ليسقي اللحظة التي يعيش تجربة الحياة..ومن هذا المنطلق..أريد في كل مرة أن أكون حاضراً وجديداً، وأن أساهم ببناء مسرح متميز وأن أثير عند المشاهد أكثر ردود الفعل عنفاً لتحقيق التوعية والإمتاع معاً.قدم أكثر المذاهب المسرحية الواقعي والطليعي والمسرحيات الطرازية والكوميديا الاجتماعية والتعبيرية والمسرح الفقير والمسرح الشامل والمسرح السياسي ومسرحيات الأطفال..ويميل إلى كرنفالية العرض وخلق انطباع انبهاري كما في طبيب رغماً عنه، وشايف خير، والتوغ يا ملك الزمان، وتجربته الشعرية في المسرح واعين بذلك المنطلقات الهائلة التي تفجر الشكل الجمالي للعرض المستمد من التجارب اليومية للإنسان، على الأرض بلا حدود جغرافية أو زمنية، كما في مسرحية (في انتظار كودو) فمن خلال الشعر وعلم الجمال والفلسفة والفنون التشكيلية يتفجر العمق الفكري للكلمة..خريج معهد الفنون الجميلة العليا عام 1967 لا يميل إلى الميكانيكية المتوارثة عند الممثل والنمطية في التعبير أؤكد على الفعل الظاهر، ويراعي العنصر البصري (الديكور، الملابس، الإنارة،..) ويوشك أن تتساوى عند عناصر العرض المسرحي بالأهمية..هناك دائماً قضية فيما أختاره من نصوص وهناك أفكار كونية كانت وما زالت وستبقى كالحب والغيرة وغيرها من المشاعر الإنسانية وأُجسدها حركياً من خلال التناظر الحركي والثقل والتوازن والإيقاع ووحدة الأرض فقد طرحت مسألة شرف قضية المرأة باعتبار شيء وصراعها مع الرجل باعتباره ذات فهي مقهورة مطحونة مسلوبة الإرادة تعيش مأساة الشيئية فهي لا تملك أن تكون أو لا تكون لأن المخطط الذي وضع لإخضاعها هو مخطط (مال زلم) حسب تعبير الخال في المسرحية كما طرحت قضية الحرية والظلم والاستعمار في ثمن الحرية في أسلوبي تمسك بالتقاليد الموروثة ممزوج بالحس الجمالي والتطلع إلى النواحي التجديدية في التكتيك وأسلوب العرض كما في ضرر التبغ وطلوع القمر وكيف تصعد دون أن تقع وقد كسرت كثيراً الحدود بين الفنون المختلفة أي بين الدراما والرقص والغناء والتمثيل الصامت واللوحات التعبيرية فيما أُخرجت من أوبرتات ومسرحيات غنائية ومنها مسرحية أبي تمام في ذمة الخلود تأليف الشاعر ذنون الشهاب وقد عرضت بمناسبة مرور ألف عام على وفاة الشاعر أبي تمام أمام حشد كبير من الشعراء العرب وعرضت من تلفزيون العراق ولم يكن تسجيل التلفزيون صالحاً فاندثرت وكذلك مسرحية حلاق إشبيليه وأوبريت البناء والثورة في السبعينات أتوجه إلى كل الناس واعرض في أماكن مختلفة فقد عرضت في حديقة الشهداء (الثوغ ياملك الزمان) وفي فناء مدرسة الفتوه النموذجية وفي القرى والأرياف ويتنوع في العرض والمذهب ويخلق حركة دائمه ويتناغم بين الرؤيا والتفكير ويحاول الانطلاق إلى رحاب أكثر اتساعاً وينفر عن الاستنساخ والتقليل المباشر الذي يدخل في دائرة السكوت والعجز.,0
799,815,عصام عبد يحيى رحو الخفاف,ولد في الموصل/محلة شيخ أبو العلا. أنهى الدراسة الابتدائية في مدرسة المنصورية 1957/1958. انهى الدراسة المتوسطة في متوسطة المثنى 1960/1961. أنهى الدراسة الإعدادية في الإعدادية الشرقية 1963/1964. تخرج من جامعة الموصل/كلية العلوم /قسم الفيزياء (الدورة الأولى) 1967/1968.التدرج الوظيفي وسنوات الخدمةتم تعيينه مدرساً في 29/1/1969في متوسطة الجزيرة في تلعفر لتدريس مادتي الفيزياء والرياضيات. تم نقله مدرساً للرياضيات والفيزياء إلى متوسطة الحرية للبنين في مركز الموصل أواسط السنة الدراسية 1969/1970.لأسباب سياسية غادر العراق إلى سوريا واعتبر مستقيلاً في أيلول 1970. تمت إعادته للوظيفة مدرساً للمواد العلمية كافة في متوسطة بادوش في 6/10/1973لتدريس مواد العلوم والرياضيات-أول-فيزياء أحياء كيمياء جبر هندسة للصفين الثاني والثالث تم نقله إلى إعدادية المستقبل بعد امتحانات نصف السنة الدراسية 74/75 مدرس رياضيات للرابع العام والفيزياء للخامس العلمي. بدءاً من السنة الدراسية 79/80 إقتصر تدريسه لمادة الفيزياء (السادس العلمي) إلى أن تم ترشيحه اختصاصياً تربوياً (فيزياء) أوائل التسعينات.شارك في عدة دورات تدريبية في الاختصاصات (الرياضيات المعاصرة، الفيزياء، الحاسوب، قادة الأجهزة الفيزياوية) التي أقيم قسم منها في مديرية الإعداد والتدريب وجامعة الموصل ومعهد التدريب والتطوير التربوي في وزارة التربية وحاضر في دورات عملية فيزياوية متعددة.طيلة فترة خدمته كان عضواً في اللجان الأمتحانية في المدارس التي عمل بها وعضواً في مركز فحص الدراسة المتوسطة لأكثر من عشر سنوات ومعاوناً لمدير مركز فحص الدراسة الإعدادية للسنة الدراسية 94/95وعضواً في اللجنة الفرعية للامتحانات المدرسية الموحدة طيلة سنوات تطبيق هذا النظام. استلم مهام مدير الامتحانات بعد أحداث نيسان 2003.,0
800,816,عصام محمد محمود  ,ولد في الموصل وأنهى دراسته الأولية فيها. ولم يكمل دراسته الجامعية لظروف خاصة وعمل موظفاً في المكتبة العامة التابعة لمحافظة نينوى وكان موظفاً تمكن من إصدار كتاب (مطبوعات الموصل منذ سنة 1861-1970) عام 1971 وهو أول فهرسة كتب المكتبة العامة يصدر حاوياً معظم الصحف والمجلات والنشريات والدوريات الموصلية وكانت غايته بحصر الصحف والمجلات الصادرة في الموصل حافزاً هاماً لظهور رسائل جامعية في هذا المجال وكتب خاصة بالصحافة في الموصل وضم الكتاب :1-80 صحيفة يومية واسبوعية صدرت بالموصل خمسة منها باللغة التركية والعربية صدرت بالعهد العثماني. 2-يحوي (80)صحيفة صدرت في الموصل ومبحثاً عن الطباعة في الموصل وثلاثين مطبعة واربع عشرة مجلة والنشرات المدرسية ومجلات المعاهد والكليات بلغت ثماني واربعين نشرة مدرسية. 3-وضم الكتاب (973)كتاباً منها (112)كتاباً بالكلدانية و(34)كتاباً بالسريانية و(11)كتاباً بالفرنسية و(17)كتاباً بالتركية و(15)كتاباً بالآشورية و(13)كتاباً بالسورث وثمانية كتب بالانكليزية وكتابان بالآرامية وكتاب باللاتينية.يقول المؤلف في التقديم :كانت الفكرة تخامر العاملين في المكتبة المركزية العامة في محافظة نينوى لتقديم جهد متواضع في ابراز نشاط هذه المدينة الفكري اذ هي معروفة بماضيها المشرق في هذا الميدان منذ الآشوريين وحاضرتهم نينوى الى يومنا هذا .لذلك أخذت هذه الفكرة في التبلور وخرجت الى حيز التنفيذ وكان يدفعنا الى ذلك دخول الطباعة الى الموصل قبل غيرها من المدن ان الجهد المبذول من جمع وترتيب ومراجعة وتدقيق ليس بالأمر الهين فقد دأبنا على جمع شتات ما نشر وما طبع من مظانها وكثيرا ما اقتضانا العثور على كراس او كتاب الذهاب الى من نعتقد أن لديه معلومات عنه ونرجع في بعض الأحيان دون أن نعثر على شيئ ولكن تظافر الجهود في هذه المدينة دللت الكثير من الصعاب كان البعض من السادة يقدم لنا المعلومات التي نطلبها منه.ويذكر المؤلف أسماء اثنين وثلاثين من أهل الموصل ممن قدموا له يد العون وراجع الكتاب مدير المكتبة العامة في الموصل آنذاك الشاعر عبد الحليم اللاوند. وقد ذكرنا المؤلف في فصل الصحفيين أنه حسب علمنا اول من نشر أسماء الصحف والمجلات والنشرات المدرسية وذكر أسماء أصحاب الامتياز ومديرها المسؤولين واعتمد عليه الدارسون والباحثون في هذا المجال وحفظ لنا أسماء الصحف والمجلات والنشرات المدرسية التي فقد بعضها ولا يعرف شيئ عنها.,0
801,817,عصام محمود صلاح الدين الخطيب ,ولد في الموصل وتلقى علومه الاولية فيها وسافر الى بغداد ودخل كلية الطب عام 1949 الا انه لم يوفق فيها فتركها الى دار المعلمين العالية (كلية التربية حالياً) ودخل قسم اللغة الانكليزية وكان من المتفوقين العشرة الذين درسوا السنة الرابعة في انكلترا وبعد نيله البكالوريوس عام 1954 عين مدرساً في المتوسطة الغربية في الموصل. ثم سافر الى انكلترا لاكمال دراسته وحصل على دبلوم من جامعة (نوتنكهام) عام 1961 وانتقل الى الولايات المتحدة وحصل على الماجستير من جامعة (انديانا) عام 1964 وعلى الدكتوراه من جامعة (وستون رزرف) عام 1967. وعاد الى العراق وعين في (كلية العلوم الانسانية) الاداب حالياً- قسم اللغة الانكليزية. واصبح رئيساً للقسم ثم تقلب في وظائف في الجامعة منها مساعد رئيس الجامعة ثم عاد تدريسياً في القسم واحيل على التقاعد بعد بلوغه السن القانوني وتعاقدت معه كلية الاداب وما زال يدرس فيها. اشرف على عدد من الرسائل الجامعية ونشر عدداً من البحوث في الدوريات الاكاديمية وهو افضل تدريسي للادب الانكليزي في جامعة الموصل.,0
802,818,عصام ناصر الساعور ,خريج كلية التربية بغداد 1962 عين في نفس السنة لتدريس الجغرافية تنقل في عدة مدارس منها المتوسطة المركزية اصبح معاوناً عام 1978 باشر في متوسطة ام الربيعين ونقل الى متوسطة الكفاح ثم متوسطة دار السلام واحيل على التقاعد.,0
803,819,عطا محمد علي الجماس  ,حصل على شهادة طب الاسنان من اسطنبول عام 1957. مدير المستشفى 1974-1983. تقاعد لاسباب صحية.,0
804,820,عفة سليمان قاسم أغا  ,ولدت في الموصل1935. خريجة الدورة التربوية 1951.الوظائف التي شغلتها: معلمة في مدرسة الوطن للبنات التعيين الأول، معاونه مدرسة الزهور للبنات، مديرة مدرسة الزهور، مديرة مدرسة دجلة، سنة الإحالة على التقاعد 1/9/2003,0
805,821,عفيفة إسكندر,"الفنانة التي كرمتها الإذاعة العراقية، أخيراً، في الذكرى الثامنة والستين لتأسيسها، الفنانة التي لمع نجمها كعلم من أعلام الفن في العراق في الثالث عشر من يوليو (تموز) 1936، أي قبل الحرب العالمية الثانية بأربع سنوات، نشرت مجلة ""الاثنين"" القاهرية خبرا يشير إلى أن ""الفنانة والمنولوجست العراقية عفيفة اسكندر ستزور مصر لتقديم بعض أعمالها الفنية"". وامتدحت المجلة الحركة الفنية في العراق وقالت ‘نها نمت نمواً مطرداً وأصبحنا نرى هناك ممثلين بارعين ومطربين ومطربات، بل ومنولوجست ضربوا في الفن بسهم وافر، ومن بين الأخيرين فتاة امتد صيتها هناك لما إمتازت به من مهارة في الإلقاء ولما تأتيه من ضروب الغناء..تلك هي الفنانة عفيفة اسكندر إن مجيئها إلى القاهرة هو فرصة يشاهد فيها المصريون فنانة عراقية ويؤدون إليها بعض ما يجب عليهم من التشجيع، فيردون بذلك شيئاً من جميل العراق الذي يطوق دوماً فناني مصر""انتهى حديث مجلة""كانت رحلة عفيفة إلى القاهرة ناجحة، ولفتت الأنظار هناك، ودعيت لأداء أغنية في فيلم""يوم سعيد""مع محمد عبد الوهاب، وهو الفيلم الذي بدأت فيه فاتن حمامة حياتها كممثلة، لكن المخرج محمد كريم اضطر إلى حذف الأغنية بسبب طول الفلم.ثم تكررت زيارات الفنانة العراقية إلى مصر.وفي ليلة رأس السنة 1938-1939قدمت عفيفة اسكندر حفلة على مسرح (بباعزالدين) في القاهرة، وردد شارع عماد الدين أصداء أغنيات عراقية صوت صداح لا يخلو من بحة جذابة وظهرت عفيفة اسكندر في فيلم""القاهرة-بغداد ""للمخرج احمد بدر خان، مع مديحة يسري وبشارة واكيم من مصر، وإبراهيم جلال وحقي الشبلي وفخري الزبيدي من العراق. كما ظهرت في فيلم""ليلى في العراق""للمخرج أحمد كامل مرسي، بطولة جعفر السعدي وإبراهيم جلال والمطرب محمد سلمان والفنانة نورهان.وهي وإن كانت قد عرفت عزها في مرابع بغداد في الأربعينات، فإن ولادتها كانت في الموصل لوالدين عشقا الغناء ويعزفان على أكثر من آله شرقية وغربية أما بدايتها الفنية فكانت في مدينة أربيل أوائل الثلاثينيات، وقد سموها ""جابو كلي"" المسدس السريع الطلقات ""لأنها كانت تغني بسرعة بحكم صغر سنها وقلة خبرتها"" حسب ما سجله الباحث قحطان جاسم جواد توقفت عفيفة اسكندر عن الدراسة وهي في الصف الرابع الابتدائي، لكن الرغبة في التعلم لم تفارقها، وكانت أول مغنية عراقية تغني القصيدة وتصادق المثقفين وتقيم صالونا في منزلها يحضره مشاهير الفن والأدب والسياسه في النصف الأول من القرن العشرين، وفيه يتجاور نوري السعيد والوصي على العرش وسعيد قزاز مع حسين مردان وناظم الغزالي وجعفر الخليلي وأنور شاوول وفي كتابه "" شارع الأميرات"" الذي دون فيه فصولاً من سيرته الذاتية، يروي جبرا ابراهيم جبرا إنه تعرف على عفيفه اسكندر، بطلب منها عن طريق صديقه وزميله في هيئة التدريس بكلية الآداب في بغداد دزموند ستيورات. وكان هذا الأخير يعطي للمغنية دروساً خصوصية في اللغة الإنكليزية ويكتب جبرا الذي ذهب إلى الموعد في الملهى الذي كانت تغني فيه، في الأربعينات :"" وجدتها، لدهشتي، شابه نيره الذهن، تواقه للمزيد من المعرفه والثقافة وكنا نتباهى أنا ودزموند ضاحكين بأننا الرجلان الوحيدان في بغداد اللذان إذا ذهبا إلى الملهى كانت الفنانة التي تجالسهما هي التي تسقيهما على حسابها وليس العكس وكتب رفعت عبد الرزاق محمد متحدثاً عن العلاقة التي جمعت الفنانة بأدباء عصرها ويقول أن الكاتب والقاص الرائد جعفر الخليلي كان ينشر ذكرياته في جريدة""البلد""عن مجايلية من كبار زمانه تحت عنوان""هكذا عرفتهم "" عندما انتشرت شائعة تفيد بأن عفيفه اسكندر قد ماتت قطع الخليلي سلسلة مقالاته وراح ينشر عوضاً عنها ذكرياته عن صديقته الفنانه تحت عنوان""هكذا عرفت عفيفه اسكندر""ووقع تلك المقالات باسم "" أديب مخضرم"" لكن الجميع كان يعرف من وراء ذلك الاسم ثم جمع الخليلي تلك المقالات في كتاب سماه ""تسواهن""غنت عفيفه أول ما غنت ""برهوم يا برهوم بابو الجديلة ""واحب الناس أغنياتها سواء أكانت خفيفه أم حزينه مثل ""يا حافر البير"" و ""حرقت الروح"" و ""قيل لي قد تبدلا"" و ""على عنادك"" ""ويا عاقد الحاجبين"" التي لحنها علاء كامل ثم غنتها فيروز فيما بعد بلحن آخر وتعاونت عفيفة مع معظم ملحني تلك الفترة أمثال رضا علي عباس جميل والأخوين صالح وداؤد الكويتي وهما من اليهود الذين غادروا العراق بعد ذلك كما كانت لها فرقتها الخاصة في الحفلات وعزف وراءها فنانون صاروا نجوماً أمثال منير بشير وأخيه جميل بشير وكريم بدر وسالم حسين وروحي الخماش وخضر ألياس ورغم الشهرة والثروة وحب الناس أدركت عفيفه اسكندر منذ فترة مبكرة أن النظرة إليها كفنانة ستبقى نظرة ملتبسة في أعراض مجتمع يراوح بين البداوة والمدنية وقالت في مقابلة نشرت عام 1949 ""إن معظم أنواع الفنون لا تظفر بأي تقدير أو مكانة لائقة عند الشعوب العربية بل إن بعضها يحتقر الفن ويعتبره من الكماليات""لكنها أكدت في نهاية المقابلة إنها ""غير أسفه على احترافها الفن بل شديدة الاعتزاز لكونها فنانه ويبدو إن عفيفة اسكندر تحولت عن رأيها ذاك بعد تقدمها في السن وحلول زمن صار الفنان جزء من آله تعبوية حزبية وسياسية هذا ما سمعته منها عندما زرتها، قبل خمس سنوات، في شقتها المطلة على دجلة في شارع أبي نواس في بغداد كانت قد اعتزلت الغناء منذ أواسط السبعينات وتبرعت بكل أملاكها إلى الكنيسة التي تنتمي إليها مبقية على مورد مالي بسيط كانت تظنه يسد حاجتها لما تبقى لها من عمر، ولم تحسب حساب الحروب الآتية وانهيار العملة العراقية إلى الحضيض، فوجدت نفسها خالية الوفاض، يتقطع بها سبيل العلاج وقد كلّ بصرها وخانتها ركبتاها. ذهبت إليها بعد موعد رتبة محام ظل كريماً معها يرعى شؤونها، وأخذت لها باقة من الزنابق الحمراء، نادرة في زمن الحصار، تليق بدلالها السابق، وكانت الكهرباء مقطوعة والمصعد جامداً، وأنا أتلمس دربي إلى طابقها العالي وكأنني أؤدي نذراً لولية صالحة.وفتحت لي الباب امرأة من أهل الشمال، تعتني بها، وجلسنا في صالون شديد التواضع يتوسطه منقل من السيراميك الأخضر تعلوه أباريق ودلال قهوة فولكلورية وجاءت نجمة الأمس في جلباب زاهر تتوكأ على عكاز، تسبقها بحتها المميزة وضحكتها التي لم ينل منها الزمن، وكانت مهفهفة معطرة جميلة، أو هكذا رأيتها بعين المحبة تأسفنا على أحوال الحاضر، وتحدثنا عن الماضي، وقالت إنها ""تابت"" وتريد أن تنسى عمرها الذي أمضته في الفن وسألتني عن ""الشانزليزية""و"" الأوبرا"" التي شيدوا لها مبنى جديداً في الباستيل وعن "" الكوميدي فرانسيز""، وحدثتني عن سفراتها في أوربا وصداقاتها في باريس، ورطنت ببضع عبارات بالفرنسية عند باب المغادرة، قالت لي المرأة التي تقوم على خدمتها إن "" الست عفيفة مريضة وتعبانة، وأن المنقل الذي يزين غرفة الجلوس معروض للبيع"".",0
806,822,علاء عبد الله ,ولد بالموصل عام 1942وهو معلم خريج الدورة التربوية عام 1963بالموصل، وبدأ الغناء وعمره ثماني سنوات بعد أن شغف بسماع الأغاني عن طريق المذياع: وشارك في الحفلات المدرسية عن طريق الأناشيد الوطنية وقلد المطربين المشهورين أمثال عبد الحليم حافظ ومحرم فؤاد وكان لقاؤه بالفنان محمد حسين مرعي نقطة التحول عنده فأخذ عنه أصول المقام العراقي ودرس الموسيقى على الفنان زكي إبراهيم والفنان سمير كلو الذي لحن له العديد من الأناشيد الوطنية، وقدم علاء عبد الله سبع عشرة أغنية مسجلة في تلفاز نينوى بين أغانِ عاطفية وفلكلورية ووطنية، ولحن عدداً من الأوبريتات التي قدمتها المدارس في مهرجان الربيع، مثل (قطرة المطر، القطار الأخضر، السوق الشعبي، على ضفاف دجلة) وغيرها، وما زال مستمراً في عطائه ويشارك في معظم الحفلات العامة والخاصة بالموصل.,0
807,823,علو خضر,"شقيق سعيد خضر عمل في مسارح الموصل وملاهيها ضابط إيقاع شأنه شأن أخيه ومثله احمد خضر وهو عازف رق جيد وهو ما زال يعمل في ملاهي الموصل.علي إحسان الجراحكانت بدايته وهو تلميذ في مدرسة النجاح وبطولة مسرحية ""إسلام عمر""من إخراج المرحوم خضر اسيبر عام 1947 فأصبح عنده الرغبة للدخول بمعهد الفنون الجميلة سنة 1955 وعند تخرجه عين معلماً في قضاء تلعفر حيث قدم باكورة أعماله الفنية: 1-مسرحية (عند الفجر) سنة 1958، 2-مسرحية (رأس الشليلة) سنة 1958 تأليف يوسف العاني، 3-مسرحية (تؤمر بيك) سنة 1959 من تأليف يوسف العاني، 4-مسرحية (جسر العدو) سنة 1959 تأليف سعدويه العبيدي،  5-مسرحية (نموت ولا نسلم) عن القضية الجزائرية.وقد قام بتمثيل وإخراج المسرحيات المذكورة وتنفيذ كل ما يتطلبه المسرح من ديكور وإنارة ومكياج وغيرها من متطلبات المسرح...ثم نقل إلى مركز المدينة في مدرسة الوطن وقدم فيها مسرحية ""الدرس قبل اللعب"" لفرقة المدرسة وبعض المسرحيات القصيرة وعلى لسان الحيوانات…وقد ساهم في إنعاش الحركة المسرحية في الستينات بتقديم العديد من المسرحيات...حيث كان يعاني الكثير بتقديم إي عمل مسرحي…وقد أعيدت المسرحيات التي قدمها في تلعفر على مسرح نادي المعلمين بالموصل في رأس الجادة.وفي نادي الجزيرة (قرب الجسر القديم) شارك بالتمثيل في مسرحية (معرض الجثث) من إخراج الفنان المقترب ميسروب يوسف. وقد تطور الكادر الذي يعمل معه فاتجهت النية لتشكيل فرقة في نقابة المعلمين باسم (فرقة مسرح الموصل) ولكنها مع الأسف لم تر النور وقتها لظروف قاهرة.*..وفي نادي الفنون بالموصل كان ضمن الهيئة الإدارية خلال وجوده في النادي قدم مسرحية ""الماعندو فلس"" تأليف المرحوم سامي طه الحافظ وباللهجة الموصلية حيث لاقت نجاحاً كبيراً وقد نقلت إلى بغداد مع مسرحية ""أصدقاء""لهر برت قارجيون وعلى مسرح مصلحة السينما والمسرح وكان من ضمن المشاهدين المخرج التلفزيوني عبد الهادي مبارك حيث أعجب بها وطلب تسجيلها في تلفزيون بغداد حيث عرضت من على الشاشة الصغيرة لعدة مرات وتعد أول مسرحية باللهجة الموصلية تسجل وقتها بالأسود والأبيض وضمن نشاطات النادي ساهم بالتمثيل بدور (أبو عطا) في مسرحية (فلسطين) من إخراج الفنان المرحوم عزالدين ذنون  وقدم الأعمال التالية:-1-مسرحية (المدمن) تأليف أدمون صبري وقمت بدور المدمن. 2-مسرحية (المهمة 9) تأليف عبد الإله حسن تمثيل وإخراج ومكياج. 3-مسرحية (الزنزانة) تأليف محمود العزاوي تمثيل وإخراج ومكياج. 4-مسرحية (التضحية) تأليف وليم يلدا تمثيل وإخراج ومكياج. 5-مسرحية (شمعدان الأسقف) تأليف فكتور هوجومن تمثيلي وإخراجي.ثم تقل إلى مركز النشاط المدرسي وكلف بتأسيس قسم المسرح مع المرحوم محمد حسين مرعي حيث قام بتأسيس فرقة التربية الموسيقية وفي التربية كان له نشاط كبير.1-مسرحية (أهل الكهف) لتوفيق الحكيم كانت من إخراجه، 2-مسرحية (صقر قريش) لمدرسة الفتوة النموذجية من إخراجه، 3-مسرحية (الفارس العنيد) لمدرسة الفتوة النموذجية من إخراجه، 4-مسرحية (قاهر المغول) لمدرسة أبي تمام النموذجية من إخراجه، 5-مسرحية (سهاد) أو اللحن التاته لمدرسة أبي تمام من إخراجه، 6-مسرحية (غاب القط إلعب يا فار) للإعدادية المركزية من إخراجه، 7-مسرحية (أنت السبب) للإعدادية المركزية من إخراجه،  8-مسرحية (الحمرمان) للإعدادية المركزية من إخراجه، 9-إخراج مسرحية (أبطال المعركة) حيث سجلت من تلفزيون نينوى، 10-إخراج مسرحية (ارجال هالوكت) حيث سجلت تلفزيونياً، 11-إخراج مسرحية (تاجر البندقية) بالإنكليزية من المنهج المقرر.وضمن المسرح الجامعي قدم أعمال كثيرة منها :-1-إخراج مسرحية (خمسة رجال يبحثون عن مدينة فاضلة)، 2-إخراج مسرحية (استعلامات) من تأليف زكي إسماعيل، 3-إخراج مسرحية (طوز الطبل) لكلية الإدارة والاقتصاد، 4-إخراج مسرحية (وجه للبيع)، 5-إخراج مسرحية (هدايا العيد) تأليف أبي الديوه جي، 6-إخراج مسرحية (ما غاحت بلاش) ومسرحية (أربعة فصول) ومسرحية (قسمه) ومسرحية (إلى المجهولة مي)، 7-إخراج مسرحية (تومر بيك) ليوسف العاني لكلية العلوم،  8-إخراج مسرحية (فتاح الفال) تأليف زكي إسماعيل، 9-إخراج مسرحية (يوم الحساب) ومسرحية (لو عطلت الرجلين)، 10-إخراج مسرحية (صورة المرحوم) تأليف المرحوم سامي طه الحافظ، 11-التمثيل في مسرحية (محلتنا) باللهجة المحلية لمسرح الجامعة ومن إخراج شفاء العمري، 12-وضمن مهرجان الجامعة في بغداد شاركت في مسرحية (البكاء في ضوء القمر).وضمن نشاط في التربية قام بإعداد وتقديم برنامج (الركن المدرسي) حيث قدم خلاله كافة الأنشطة المدرسية ثم توقف البرنامج وحل محله برنامج (ركن الأطفال والأحداث) وايضاً كان إعداده وتقديمه. وبعده جاء برنامج (تلفزيون المدارس) من تقديم نداء محمد.وفي مهرجان الربيع ساهم بالأعمال التالية:- 1-أوبريت (قهوة التوب) من الفلكلور الموصلي تأليف سنحاريب شواك، 2-أوبريت (الحصاد) تأليف موفق الجبوري، 3-لوحة تعبيرية من الفلكلور الأردني لمدرسة الأرمن،4-أوبريت (أيام زمان) لمدرسة الفتوه النموذجية، 5-أوبريت (السوق) لفرقة التربية للتمثيل بالاشتراك مع الفتوه،6-أوبريت (قطرة المطر) تأليف سليمان العيسى، 7-المسرحية الغنائية (أنا نا) تأليف الشاعر معد الجبوري وعبد الوهاب إسماعيل تقديم متوسطة إبن الأثير للبنات. كل هذه الأعمال سجلت تلفزيونياً ومثل قسم منها وضمن المهرجان القطري الموسيقى والمسرح المقام في بغداد قدم أوبريت (وغنى الشعب) تأليف موفق الجبوري تقديم مدرسة الغسانية للبنين والبنات وحاز هذا الأوبريت على الجائزة الأولى. 8-إخراج أوبريت (الشجرة) تأليف سليمان العيسى.  9-إخراج أوبريت (عنبر ورد) لمدرسة الفتوه النموذجية. 10-إخراج أوبريت (صندوق الدنيا) وأوبريت (البئر) لمدرسة المروج. 11-إخراج أوبريت (الرجل الذي غاب وعاد) تأليف عبد الإله حسن. 12-إخراج أوبريت (أعياد الربيع) لمدرسة أبي تمام النموذجية. 13-إخراج أوبريت (ألف ليله وليله) لمدرسة الفتوه. 14-إخراج أوبريت (جغاش البرغل) لمدرسة الفتوه. 15-إخراج أوبريت (أطفالنا والمعركة) لروضة النسور. 16-إخراج أوبريت (صوت القادسيتين) لمدرسة الفتوه النموذجية.  وبفرقة التربية للتمثيل أخرج ومثل في الأعمال التالية:  17-إخراج مسرحية (لا للأمية ) تأليف موفق الطائي وغانم العبيدي، 18-التمثيل في مسرحية (الآيات الكاذبة) تأليف محمد عطا الله، 19-مسرحية (فتى الليمون) بمناسبة يوم الشهيد، 20-إعداد وإخراج مسرحية (من يصير الليل ) لفرقة التربية للتمثيل مع مسرحية (أصدقاء) ومن على مسرح الإعدادية الشرقية ولمدة 45يوماً.",0
808,824,علي التلعفري ,ولد في قضاء تلعفر التابع للواء الموصل. تخرج في كلية الحقوق عام1969 عين مشاوراً قانوياً في الشركة العامة للدواجن وهو رئيس اتحاد الادباء التركمان عام1970 وعضو جمعية الحقوقيين ونقابة المحامين وباحث فلكلوري. حضر العديد من المؤتمرات الثقافية في القطر يمارس المحاماة. كتب سلسلة من الابحاث الفلكلورية ومقالات في تاريخ العراق الحديث وكتب في الموسيقى الشعبية والازياء الشعبية.  ,0
